"","from","to","Link"
"1","BET.15.51","BET.14.01",1
"2","BET.15.49","BET.14.02",1
"3","BET.14.01","BET.14.03",1
"4","BET.14.03","BET.14.03",1
"5","BET.15.18","BET.14.03",1
"6","BET.14.04","BET.15.01",1
"7","BET.16.17","BET.15.01",1
"8","BET.15.19","BET.15.02",1
"9","BET.15.07","BET.15.04",1
"10","BET.15.19","BET.15.04",1
"11","BET.15.37","BET.15.04",1
"12","BET.15.46","BET.15.04",1
"13","BET.16.20","BET.15.04",1
"14","BET.15.18","BET.15.05",1
"15","BET.14.02","BET.15.06",1
"16","BET.15.16","BET.15.06",1
"17","BET.16.09","BET.15.09",1
"18","BET.15.27","BET.15.10",1
"19","BET.16.32","BET.15.10",1
"20","BET.16.39","BET.15.10",1
"21","BET.14.03","BET.15.12",1
"22","BET.15.59","BET.15.12",1
"23","BET.15.26","BET.15.13",1
"24","BET.16.29","BET.15.17",1
"25","BET.15.52","BET.15.18",1
"26","BET.16.10","BET.15.18",1
"27","BET.15.34","BET.15.19",1
"28","BET.15.39","BET.15.19",1
"29","BET.16.37","BET.15.19",1
"30","BET.15.15","BET.15.26",1
"31","BET.16.06","BET.15.26",1
"32","BET.15.51","BET.15.28",1
"33","BET.15.54","BET.15.30",1
"34","BET.16.36","BET.15.32",1
"35","BET.15.01","BET.15.33",1
"36","BET.14.02","BET.15.34",1
"37","BET.15.03","BET.15.34",1
"38","BET.15.35","BET.15.35",1
"39","BET.16.15","BET.15.35",1
"40","BET.15.17","BET.15.37",1
"41","BET.15.60","BET.15.39",1
"42","BET.16.11","BET.15.39",1
"43","BET.15.08","BET.15.40",1
"44","BET.15.37","BET.15.40",1
"45","BET.16.38","BET.15.40",1
"46","BET.15.06","BET.15.42",1
"47","BET.15.28","BET.15.42",1
"48","BET.15.53","BET.15.42",1
"49","BET.16.37","BET.15.42",1
"50","BET.15.07","BET.15.45",1
"51","BET.16.04","BET.15.45",1
"52","BET.15.12","BET.15.49",1
"53","BET.15.13","BET.15.49",1
"54","BET.16.20","BET.15.49",1
"55","BET.15.49","BET.15.51",1
"56","BET.16.10","BET.15.51",1
"57","BET.16.28","BET.15.52",1
"58","BET.16.13","BET.15.54",1
"59","BET.16.37","BET.15.54",1
"60","BET.15.51","BET.15.58",1
"61","BET.15.43","BET.15.59",1
"62","BET.16.29","BET.15.59",1
"63","BET.15.12","BET.15.60",1
"64","BET.16.29","BET.15.60",1
"65","BET.16.09","BET.15.70",1
"66","BET.16.12","BET.15.70",1
"67","BET.16.13","BET.15.70",1
"68","BET.16.37","BET.15.70",1
"69","BET.16.29","BET.16.03",1
"70","BET.16.19","BET.16.04",1
"71","BET.15.07","BET.16.06",1
"72","BET.15.46","BET.16.07",1
"73","BET.16.23","BET.16.09",1
"74","BET.17.07","BET.16.09",1
"75","BET.15.40","BET.16.10",1
"76","BET.16.20","BET.16.11",1
"77","BET.15.13","BET.16.12",1
"78","BET.15.39","BET.16.12",1
"79","BET.15.53","BET.16.12",1
"80","BET.15.03","BET.16.13",1
"81","BET.15.27","BET.16.15",1
"82","BET.16.20","BET.16.15",1
"83","BET.15.13","BET.16.17",1
"84","BET.15.51","BET.16.17",1
"85","BET.15.31","BET.16.19",1
"86","BET.15.51","BET.16.19",1
"87","BET.15.06","BET.16.20",1
"88","BET.15.33","BET.16.21",1
"89","BET.15.42","BET.16.21",1
"90","BET.15.31","BET.16.23",1
"91","BET.16.25","BET.16.23",1
"92","BET.16.12","BET.16.24",1
"93","BET.16.23","BET.16.24",1
"94","BET.16.32","BET.16.24",1
"95","BET.15.18","BET.16.25",1
"96","BET.15.19","BET.16.28",1
"97","BET.15.32","BET.16.30",1
"98","BET.16.15","BET.16.30",1
"99","BET.16.32","BET.16.31",1
"100","BET.15.18","BET.16.37",1
"101","BET.16.10","BET.17.07",1
